,logFC,AveExpr,t,P.Value,adj.P.Val,B
IFNGR1,0.925781478890284,7.09583711088506,5.57984280722221,1.86670302782625e-06,5.42713990662266e-05,4.93042062715278
BNIP3P9,-1.21772623990683,-2.7125595267257,-5.5797135711435,1.86748044099116e-06,5.42713990662266e-05,4.93002113071662
WDR45,0.709640044202128,5.80080696192319,5.57963541876245,1.86795071921518e-06,5.42713990662266e-05,4.92977954534921
AC099489.1,1.3081006451182,6.47969782509812,5.57936816596143,1.86955979189553e-06,5.42713990662266e-05,4.92895341330325
SDF2,0.737195530480633,5.235186253056,5.57916798866677,1.870765921498e-06,5.42713990662266e-05,4.92833462744087
FLT4,-1.2876439662476,1.46017807923552,-5.57783767212765,1.87880120352e-06,5.44579593935747e-05,4.92422241831129
TYMP,1.31981064506783,9.4978053766828,5.57736281036728,1.88167774812189e-06,5.4477067783365e-05,4.92275457038512
LINC02325,-1.206308393037,1.13777697343846,-5.57719910188717,1.88267045282798e-06,5.4477067783365e-05,4.922248532774
FAM3C,-0.977045768525247,1.48758556005477,-5.57613000114673,1.88916616676971e-06,5.46165371815086e-05,4.91894387941492
FXN,-0.648971474589175,2.278087946426,-5.57587667746872,1.89070859667293e-06,5.46165371815086e-05,4.91816084940812
MSANTD2,-0.962874198552718,3.13861661639906,-5.57471640159238,1.89778929784749e-06,5.47445957561676e-05,4.91457444803654
CHMP4B,0.652657170359594,7.09639644881177,5.57462184760059,1.8983674858585e-06,5.47445957561676e-05,4.91428218555878
AL669831.1,0.828549210321582,3.05006501235382,5.57362244203391,1.90448948836426e-06,5.48745180085398e-05,4.91119309184001
CMTM5,1.61152049257283,3.37635508496597,5.57276483351012,1.90975856900559e-06,5.49796652664867e-05,4.90854232319833
MMP28,-1.23626357299287,0.306846387975253,-5.5720938787032,1.91389098597982e-06,5.505193885265e-05,4.90646850551331
CD274,1.72834380533032,5.06253385820312,5.57112313636185,1.91988556808026e-06,5.51776087652669e-05,4.90346813122777
BX571818.1,-1.24441632931998,0.204529879219222,-5.57055775631361,1.92338554916457e-06,5.51980309679642e-05,4.90172067436396
ACVRL1,1.03659407438485,1.15958676567566,5.57048302585443,1.92384864283488e-06,5.51980309679642e-05,4.90148970129157
TMEM147-AS1,-0.743827505557157,2.53977307902243,-5.56987365943862,1.92762894449652e-06,5.5259781785558e-05,4.8996063134102
PNMA3,-1.24018097546883,2.46219231036054,-5.56912079704558,1.93230966571101e-06,5.53472191338084e-05,4.89727944411807
BCL11B,-1.56993012162943,5.49382254840161,-5.56737773192421,1.94319020325433e-06,5.55533499231629e-05,4.89189226953805
LILRB4,1.06785471474619,5.52614258852267,5.56713283265385,1.94472379166137e-06,5.55533499231629e-05,4.89113538821742
HEBP2,0.683216720030983,6.18756415985492,5.56705769184205,1.94519457402742e-06,5.55533499231629e-05,4.8909031599792
TRBJ1-3,-1.62505499742132,0.550052653754008,-5.56674403959061,1.94716093670491e-06,5.55533499231629e-05,4.8899337976139
AP002026.1,-1.21625734338308,-0.704695541088768,-5.56665973872917,1.94768977693017e-06,5.55533499231629e-05,4.88967326126363
LPAR2,0.987575806320513,7.71891006582677,5.56633007586754,1.94975920787341e-06,5.55656818082614e-05,4.88865442394233
IL18,0.863982936146102,2.19686423218119,5.56580804713469,1.95304068029695e-06,5.56125056800663e-05,4.88704108298817
LINC00963,0.885591878271682,5.72001653383229,5.56437643266825,1.96206806428989e-06,5.58227277771395e-05,4.88261671975745
DDO,1.22994478993668,-0.275258907376288,5.56293223243475,1.97121692175768e-06,5.60113472651539e-05,4.87815356756701
ZNF439,-0.985445370415621,2.50592675965679,-5.56280922625333,1.97199811389602e-06,5.60113472651539e-05,4.87777343459955
NUMA1,-0.599443527637129,7.26259391177291,-5.56249741730253,1.97397974335217e-06,5.60207528836618e-05,4.87680983724831
CDKN2D,1.02297687012911,6.83417620140467,5.5617803457745,1.97854445371064e-06,5.61033883440657e-05,4.87459385765245
FKBP1A,0.685997266540488,7.60108700539701,5.56140194981175,1.98095747054358e-06,5.61249235936478e-05,4.87342450424617
EFHD2,0.832849423240762,9.85503677856252,5.56082511247111,1.98464158176545e-06,5.61824058117456e-05,4.87164192364641
ASXL1,-0.594018846490012,5.87120387664057,-5.5597197088687,1.99172058877442e-06,5.63053042238164e-05,4.86822598119697
CD3G,-1.33462292074913,5.11402663787027,-5.55950073695445,1.9931258668702e-06,5.63053042238164e-05,4.86754931692841
SETD6,-0.685399377039666,2.39056867053159,-5.55937090133643,1.99395956858839e-06,5.63053042238164e-05,4.86714810170576
RNF227,-0.640666350907041,1.35532900049441,-5.55877394644731,1.99779721295514e-06,5.63667772253726e-05,4.86530341590345
GRB2,0.605808248499195,8.860670595027,5.55801340421401,2.00269716974063e-06,5.64580957934688e-05,4.86295324604694
AC118344.1,-1.41226670473575,-0.834799314644415,-5.5563866448868,2.01321813556317e-06,5.67075933255479e-05,4.85792645940785
WNT16,-1.68453371267456,-1.31386529134685,-5.55594216588645,2.01610233905726e-06,5.67417459305817e-05,4.85655301599814
ACSS3,1.11322849705377,1.42277768535221,5.55268423798547,2.03736888769086e-06,5.72601087630273e-05,4.84648631173121
BCL3,1.05904191297654,7.08458155140651,5.55236073872216,2.0394927262013e-06,5.72601087630273e-05,4.84548675864458
VAMP3,0.70428986627741,6.4230606018909,5.55234724110965,2.03958138867774e-06,5.72601087630273e-05,4.84544505363045
CCDC88C,-0.703216249475338,7.20605236873034,-5.55194987661817,2.04219329838266e-06,5.72860536642185e-05,4.84421727846384
AL121938.1,-1.3368802988789,-2.47085378042043,-5.55072993625227,2.05023289796495e-06,5.74640834209136e-05,4.84044796399869
DUSP14,-0.732103611861354,1.61860477359802,-5.55018016311429,2.05386628542329e-06,5.74678634438852e-05,4.83874932657255
PLA2G2D,-1.70378291472676,-1.18897394213897,-5.54989897514324,2.05572710234059e-06,5.74678634438852e-05,4.83788054458481
ANXA2P2,0.662928647621179,6.76259336771919,5.54984733424259,2.05606902864355e-06,5.74678634438852e-05,4.8377209909748
FANCF,-0.784181360483812,3.11159239769671,-5.54968560500127,2.05714024171588e-06,5.74678634438852e-05,4.83722130106633
DPF3,-1.24884991563416,-0.158552421743124,-5.54851786041502,2.0648913064941e-06,5.7636957833078e-05,4.83361339751774
SH3PXD2B,1.71424038474482,1.09815489857073,5.54753983337015,2.07140547118502e-06,5.77712773237155e-05,4.83059170770342
TRIM32,-1.03793836000988,2.54177930042874,-5.54701628037847,2.07490101021637e-06,5.78212562305122e-05,4.8289741714435
TIMP1,1.34336056915338,6.89750962967392,5.546441697415,2.07874401605515e-06,5.78756791353828e-05,4.82719899308106
FAM114A1,0.666165662172012,1.50534778874307,5.54621469595786,2.08026423148804e-06,5.78756791353828e-05,4.82649767525291
BTBD11,-1.01470416347914,3.28347504782617,-5.54445744646492,2.09206994775749e-06,5.81564604150571e-05,4.82106877102653
AC074011.1,1.51337840550016,-0.51653823745968,5.54385775499767,2.09611410140718e-06,5.81791929585538e-05,4.81921610251269
METTL8,-0.798248631729046,2.83417642125888,-5.54382786690347,2.09631586200906e-06,5.81791929585538e-05,4.81912376765323
DTX3,-0.820349176423148,3.44053675152291,-5.5422896487423,2.1067258086923e-06,5.83741161515949e-05,4.81437173450048
NUDT16P1,1.17655698476144,3.01425660433745,5.54228181073157,2.10677898431747e-06,5.83741161515949e-05,4.8143475207805
PDLIM7,1.20821423503408,7.53186751664088,5.54189826427824,2.10938272238174e-06,5.83985875718442e-05,4.81316264684358
MYO19,-0.487357146995813,4.10051276154277,-5.54123825212306,2.11387077551935e-06,5.84751441423616e-05,4.8111237176595
ZNF202,-0.605792272496313,3.36628117046398,-5.54079361797757,2.11689962739187e-06,5.85112436098818e-05,4.8097501539258
CCN2,-2.0116586972297,-2.00708712272753,-5.54012124170128,2.12148807167562e-06,5.85903564921186e-05,4.80767306959281
COL5A1,-1.52561386147036,-1.68617063090691,-5.53907190894146,2.1286687470629e-06,5.87408736689503e-05,4.80443155180222
PLEKHG1,-1.36929045662013,1.96592388177213,-5.53799539652205,2.13606056658949e-06,5.88548673426397e-05,4.80110613494702
GPR141BP,1.25255266815267,-2.70775034624036,5.53796529128474,2.13626764970043e-06,5.88548673426397e-05,4.80101313881906
IMPDH1,1.01311947658633,8.3039010865566,5.53634632324285,2.14743344350408e-06,5.91145060335892e-05,4.79601216293907
PRAM1,1.07638828751205,7.28412776303916,5.53424305184564,2.16202624311015e-06,5.94679860159194e-05,4.78951539311752
ADD2,-1.01189525425547,2.48234123360945,-5.53364061314198,2.16622421205798e-06,5.94899924026887e-05,4.78765457215871
LINC01001,1.13547972061238,1.31319228903484,5.5336252029144,2.1663317014237e-06,5.94899924026887e-05,4.78760697309748
JADE2,-0.799625704742571,6.53698135658913,-5.53330829737794,2.16854335782116e-06,5.9502585813392e-05,4.78662811919658
MTCO2P11,1.37865331945075,-2.1022540424586,5.53263115864046,2.17327658792708e-06,5.95726703540433e-05,4.78453659997357
NMNAT2,1.0340661055539,-1.91471810765574,5.53244097659862,2.17460781829767e-06,5.95726703540433e-05,4.78394917778588
ZBTB5,-0.76569241981967,3.44654571366847,-5.53193082779962,2.17818275361537e-06,5.96095432987055e-05,4.78237347249589
HCG27,0.852678631135146,6.23788386352569,5.53174787518923,2.17946624340621e-06,5.96095432987055e-05,4.78180838714986
WDCP,-0.640279932534619,2.9710278292724,-5.5309090005425,2.18536095252688e-06,5.97226420697804e-05,4.77921738046144
FITM2,-0.779872600032502,2.39742326616737,-5.52842620208426,2.2029005740472e-06,6.01535408562431e-05,4.77154906454409
EXOG,-0.7009584517189,2.52431802063212,-5.52787496378435,2.20681374808688e-06,6.02119551748915e-05,4.76984656867535
MPRIP,-1.00894950691247,6.48657538008158,-5.52671709916575,2.21505584074868e-06,6.035398967263e-05,4.7662705665178
IL1RN,1.08975188129942,7.11253835515876,5.52659773041296,2.21590729086998e-06,6.035398967263e-05,4.76590190684189
PRXL2A,-0.871119785633771,1.73273867193949,-5.52639503214872,2.21735387195126e-06,6.035398967263e-05,4.76527589327355
DNAJA3,-0.563079770433643,4.79166414409072,-5.5259952711128,2.22020957210342e-06,6.03832959105243e-05,4.76404127752491
SLC25A42,-0.806554464693177,4.46762758648679,-5.52300200602596,2.24170869604519e-06,6.08964612613652e-05,4.75479720864423
LGMN,-0.655260606567385,2.10793679436998,-5.52286929132284,2.24266670334672e-06,6.08964612613652e-05,4.75438735887387
TRBV23-1,-1.34933236547754,-0.00852585449733737,-5.52262096615808,2.24446034523504e-06,6.08964612613652e-05,4.75362048334216
ZNF786,-0.808200889821322,3.1458750247239,-5.5217031304545,2.25110223681256e-06,6.09455334710236e-05,4.75078606154238
LINC01281,-1.3209540276379,-2.35807998812365,-5.52163584490748,2.25158991590118e-06,6.09455334710236e-05,4.75057827500024
AC007191.1,-1.18749983265754,0.938364103707591,-5.52162676483307,2.25165573545058e-06,6.09455334710236e-05,4.75055023456613
CD248,-1.59756292609783,2.15253452897119,-5.52058367467575,2.25922964073724e-06,6.11018107298036e-05,4.74732906937272
AL109809.4,0.82578353959314,2.11321113115957,5.51911694522801,2.26992252978965e-06,6.13421261991404e-05,4.74279976835481
BCKDK,0.877375135503813,5.9585623904196,5.51843060616918,2.27494343409769e-06,6.14289021799074e-05,4.74068037625646
ZNF551,-1.1770647190972,2.43292886857397,-5.51772535246147,2.28011422660672e-06,6.15195843239153e-05,4.73850260420805
SDCBP,0.761260176211712,8.53654886371711,5.51735845846876,2.28280885221119e-06,6.15433662126706e-05,4.73736967347633
POMP,0.963938901316975,4.37028947018585,5.51654561429207,2.28879002376263e-06,6.16556436401199e-05,4.73485972194777
AC092295.2,-0.780178205275193,-0.702261327038408,-5.51508015143429,2.29961282273523e-06,6.18980637821405e-05,4.73033466844606
ELP2,-0.529651257215862,4.8359819960546,-5.51389944919424,2.3083696445807e-06,6.2084534450363e-05,4.72668898751069
CCDC191,-0.848757336556504,2.28216518956524,-5.51057638836206,2.33319413092159e-06,6.26678475753125e-05,4.71642872691568
CTLA4,-0.88048415929893,1.99245432278786,-5.51050231602648,2.33375049599891e-06,6.26678475753125e-05,4.71620002890327
ANXA5,0.658714601242321,7.63515908353926,5.50995172510847,2.33789018370688e-06,6.27293823046474e-05,4.71450009177154
HSPA1A,1.073306105862,6.73770922036461,5.50933080042605,2.3425674558546e-06,6.28052326908505e-05,4.71258302171865
AC018695.9,-1.38379867782643,-0.253933117379689,-5.50761006753543,2.35557804580869e-06,6.31042068120273e-05,4.70727047220456
ZDHHC18,0.820361329646984,9.16755531067137,5.50705086347266,2.35982169727298e-06,6.31680347388325e-05,4.70554403592633
ADGRL1,-0.630493356869535,4.61098852381102,-5.50650246960835,2.3639907041311e-06,6.32297655473742e-05,4.70385099171897
SIRPG,-0.926151841028053,4.46832959073387,-5.50544460230774,2.37205356078129e-06,6.33954661102667e-05,4.70058511088989
PARP15,-1.35710122069868,5.05778853816958,-5.50474948716077,2.37736648975732e-06,6.34874692331573e-05,4.69843916527874
ZNF831,-1.40048506727836,4.55569652459232,-5.50402972686016,2.38288027094781e-06,6.35846872299612e-05,4.69621716534848
PILRA,0.999676799259574,8.07570638950542,5.50314478732414,2.3896768708689e-06,6.37159562851786e-05,4.69348527568463
TNFRSF19,-1.31574463908756,-2.38735722930597,-5.50282372137494,2.39214752104765e-06,6.37317670010984e-05,4.69249412692404
POP1,-0.643908502711922,2.2032674403333,-5.50123270421741,2.4044282046844e-06,6.39925550263951e-05,4.68758265604878
AC108925.1,-1.92691478644001,0.943681298985974,-5.50106752164638,2.40570680023806e-06,6.39925550263951e-05,4.68707274587097
LAX1,-1.14281095311693,3.81299433738719,-5.50036337891449,2.41116481261382e-06,6.40631619385121e-05,4.68489911113953
GAPDHP60,1.04581622425738,4.24059333006207,5.50023824830704,2.41213602490774e-06,6.40631619385121e-05,4.68451284558174
UNG,-0.726023886184797,3.20834761343915,-5.49962935135669,2.41686759317849e-06,6.41386394430527e-05,4.6826332553009
AL035252.3,-1.26068153032961,-2.41932437946233,-5.49928520712677,2.41954592718978e-06,6.41595530161529e-05,4.68157093389261
RAB11FIP3,-0.601326317940133,4.81023051521962,-5.49894943321735,2.42216196590635e-06,6.41787833308302e-05,4.68053445713507
JUNB,1.01010360183606,8.48156597027287,5.49846280081632,2.42595835184786e-06,6.42292343045399e-05,4.67903231776866
APOBR,1.24868323892708,8.79803104973501,5.49756662831072,2.43296520417232e-06,6.43645401091323e-05,4.6762660445392
SLC2A11,-0.735667578360088,2.58092163456763,-5.49663957309597,2.44023471541616e-06,6.45065784350899e-05,4.67340449367887
FRAT1,0.875321437061602,6.95779283677948,5.4957955766444,2.44687172027659e-06,6.46316886611891e-05,4.67079936546107
AKAP1,-0.910265486964816,3.8116912709627,-5.49499618191212,2.45317455458217e-06,6.4747784394734e-05,4.66833194649115
FERMT3,0.851926748933457,8.57840420918108,5.49339530032644,2.46584534503295e-06,6.50316415704027e-05,4.66339076531718
STX10,1.11310901915151,6.90617469234087,5.4926687994771,2.4716169824211e-06,6.51027740199488e-05,4.6611484435538
LDHA,0.600594024075211,7.14603955679515,5.49257305282598,2.47237863743191e-06,6.51027740199488e-05,4.66085292691137
DIPK1A,-1.15972707762698,2.35593635775349,-5.49215620356741,2.47569735500729e-06,6.51228077618626e-05,4.65956635155383
AHDC1,-0.924749847610433,3.64183991184679,-5.49199565311186,2.47697674917697e-06,6.51228077618626e-05,4.65907082685231
DOCK8-AS1,0.806889468032921,0.78321257806407,5.4903695504529,2.48997197688587e-06,6.54137994113469e-05,4.65405209260662
TRBV3-1,-1.26460180561876,2.12389835033219,-5.48976870823963,2.49479084192442e-06,6.54897066949719e-05,4.65219771881828
SNX25,-1.30189550578723,2.03934853321068,-5.48946125564,2.49726025726536e-06,6.55038699011598e-05,4.65124883907972
MIR3142HG,-1.14463764745941,0.936087050927722,-5.48885031880278,2.50217443708863e-06,6.55104546190018e-05,4.64936334388238
HPS4,-0.512475441169249,4.74075783254349,-5.48869616540953,2.50341591742526e-06,6.55104546190018e-05,4.64888759369499
DNASE1L1,0.625700498254856,4.51013380819264,5.48866600053091,2.50365892315801e-06,6.55104546190018e-05,4.64879449862551
AC016831.1,0.947260401252075,0.505602666397573,5.48842501583316,2.50560111884582e-06,6.55104546190018e-05,4.64805077185245
ZMAT2,0.877989035604049,5.7307300841257,5.48823152279576,2.50716164486723e-06,6.55104546190018e-05,4.64745361633397
AC022075.1,-1.54240891437531,2.59268385380469,-5.48723846500188,2.51518591515965e-06,6.56695694864222e-05,4.64438889071632
PIM3,1.00807208882344,7.07986948572517,5.48617448785013,2.52381160570225e-06,6.58441303003427e-05,4.64110536337577
NAMPT,1.19262899485881,9.20687252450782,5.48580018888409,2.5268530524122e-06,6.58728466244048e-05,4.63995026002896
CD53,0.658988855081139,9.35938649266125,5.48505957631912,2.53288181311721e-06,6.5979335764255e-05,4.63766472153788
FCRLA,-1.79914206497667,3.85954046377678,-5.48401421457234,2.54141567520883e-06,6.61506950134497e-05,4.63443878034294
ATP6AP1,0.674794634085796,7.21270753962015,5.48369150584785,2.54405589974575e-06,6.61506950134497e-05,4.6334429285638
H3-3B,0.865587252748423,9.54723712693879,5.48353871206326,2.54530692615536e-06,6.61506950134497e-05,4.63297142209962
ZNF519,-1.36995233565884,0.416287785436699,-5.48329499851175,2.54730364166436e-06,6.61519358878131e-05,4.63221934919105
CD59,0.923490892137508,5.76124173308065,5.48163260277735,2.56096509314986e-06,6.63287390291799e-05,4.62708947736087
SLC25A15,-0.835057733360729,2.23489800968191,-5.48156338141949,2.56153552805353e-06,6.63287390291799e-05,4.62687587562222
ZBTB7B,0.644774894488775,8.09154899766835,5.48139101356887,2.56295651546751e-06,6.63287390291799e-05,4.62634398798325
PPP4R1L,0.646648618769895,4.31634729763054,5.48137798999674,2.56306391267444e-06,6.63287390291799e-05,4.62630380030149
ACOX2,1.63472408193566,-1.15566941650288,5.48127872078341,2.56388267062295e-06,6.63287390291799e-05,4.62599747918763
PPP1R16B,-1.18137855593103,5.89648827987162,-5.48034470303253,2.57159907008502e-06,6.64776966007812e-05,4.62311535268481
MTMR3,0.614904406983018,4.90919857296673,5.47958387108675,2.57790177099954e-06,6.65899101303397e-05,4.62076767024261
SFI1,-0.6447992434034,6.11049190233676,-5.47865857442809,2.58558761130301e-06,6.67376537664234e-05,4.61791255044661
H2BP2,2.43952303628939,0.563663534654604,5.47838485601656,2.58786558067354e-06,6.67456941787397e-05,4.61706796775848
C5orf67,1.64072389525993,-0.61642863249693,5.47790016424017,2.59190423655725e-06,6.67990991626623e-05,4.61557241913554
NCF1B,1.06905400015668,6.87025954153205,5.4771011581045,2.5985755891369e-06,6.6920222038304e-05,4.61310706424056
PALM2AKAP2,-1.21321982962981,4.21087091262004,-5.47583319731612,2.6091976022401e-06,6.71428241207228e-05,4.60919481786408
ZNF568,-0.992984756739435,1.42090826552371,-5.47532927243063,2.61343109122011e-06,6.71501799210002e-05,4.60764000370204
TMEM156,-0.968158244860443,2.8910088115203,-5.47513115871457,2.61509732219161e-06,6.71501799210002e-05,4.60702874623879
NOM1,-0.734990295395576,3.68072736797558,-5.4750929743806,2.61541859217377e-06,6.71501799210002e-05,4.60691093307393
KRTAP29-1,-0.966032126704119,-2.71662311025599,-5.47335419988223,2.63008974018828e-06,6.74758170532658e-05,4.60154624928889
MIR4539,-2.09449224083582,-0.0595199697687983,-5.47164852441715,2.64456117982755e-06,6.77916475075643e-05,4.59628386889718
ZNF582-AS1,-0.970281025132667,0.0467629766719465,-5.47143306594011,2.64639481903019e-06,6.77916475075643e-05,4.59561914541926
SLC16A5,0.704499963583293,5.31066689414977,5.47038047520582,2.65537099822387e-06,6.79393490087325e-05,4.59237177808001
TLE2,-1.14453317765869,2.59644560331358,-5.47028766233434,2.65616393066372e-06,6.79393490087325e-05,4.59208544266848
DBH,-1.73672577117659,-0.673600347802095,-5.46829806145925,2.67321855626685e-06,6.83030621972133e-05,4.58594748818363
FAM20C,1.06401118753491,3.41818914222905,5.46815972629776,2.67440839255484e-06,6.83030621972133e-05,4.58552073092478
H2BC8,1.31830311010956,1.80186645111973,5.46673262832696,2.68671382536539e-06,6.85657448575581e-05,4.58111827294658
FTLP3,1.19804518203698,8.88148587829789,5.46522002612305,2.69981804471723e-06,6.88460667850128e-05,4.5764521823393
PLPP5,-0.863839508955941,4.30897725725823,-5.46499709053583,2.70175478633071e-06,6.88460667850128e-05,4.57576448055049
ATP8B2,-1.14719539137008,6.37137956146886,-5.46287065491027,2.72029771002668e-06,6.92665752991189e-05,4.5692051039785
HAS3,-0.5671365315669,0.76332380133897,-5.46153996776152,2.7319659167556e-06,6.94597260939643e-05,4.56510050336711
CEACAM1,1.24940039401316,5.64804339809522,5.46153880370249,2.73197614564381e-06,6.94597260939643e-05,4.56509691279207
MICAL3,-1.30373350211986,2.93096307476055,-5.46002911944515,2.74527425670111e-06,6.97377985939454e-05,4.56044031871254
PSMB10,0.920534758005901,6.40733212245515,5.45983119263703,2.74702247127762e-06,6.97377985939454e-05,4.55982982774836
SMAD3,-0.861955944497925,5.49542610758599,-5.45929655208262,2.75175029360039e-06,6.980561170806e-05,4.5581807799752
TEX21P,-1.19439200752982,-0.549833475018854,-5.45724516080311,2.76996598081484e-06,7.01648859787805e-05,4.55185362832863
PPM1K,-0.910575964511128,4.60795783652598,-5.45716265541115,2.77070110626273e-06,7.01648859787805e-05,4.55159916073537
ZNF781,-1.69721212556948,-1.02075964888034,-5.45700408131328,2.77211455122104e-06,7.01648859787805e-05,4.55111007914586
ICAM1,1.14144815854156,5.57018538136911,5.4557307306949,2.78349056120726e-06,7.0400325356555e-05,4.54718281041338
AC245014.3,-1.16324704774652,-2.27800544598291,-5.45458463670535,2.79376938262184e-06,7.06076845755402e-05,4.54364811548455
TRAV8-3,-1.19424216390498,1.14706350877669,-5.45393320030785,2.79962865846054e-06,7.0687743294998e-05,4.5416390430382
ACTG1P17,-0.826733648336173,-0.484101772298999,-5.45376957227428,2.80110231370492e-06,7.0687743294998e-05,4.54113440776907
ST3GAL3,-0.63305363338407,1.44579734559659,-5.45333582387089,2.80501244349598e-06,7.0733827902779e-05,4.53979671902476
RCAN3,-1.30910359588615,4.8566032656729,-5.45197433137808,2.8173212572058e-06,7.09914759555153e-05,4.53559792766819
ZNF76,-0.478589543523864,5.12986128271325,-5.45110135043615,2.82524185591548e-06,7.11382485708333e-05,4.53290575037011
FCGR3A,1.20142149635477,9.39243378530202,5.45081212960802,2.82787085334976e-06,7.11516623457357e-05,4.53201383597438
SNHG14,-1.16804950642159,3.75091854822489,-5.45031290068217,2.83241453776596e-06,7.12131957339646e-05,4.53047430029277
FAM240C,-1.15337749121948,-2.12792409783604,-5.44945675939374,2.840223541075e-06,7.13566746344689e-05,4.52783414615904
SDHAP3,-0.768303540119404,3.21956897955463,-5.44771096835741,2.85621361681378e-06,7.16956580098006e-05,4.52245065236644
MACROH2A1,0.568932690199842,7.97622039189507,5.44752298158839,2.85794076033411e-06,7.16956580098006e-05,4.52187096959323
SPHK1,0.980520185627575,3.30835042246636,5.44651608608459,2.86720939613684e-06,7.18750526762752e-05,4.51876610949456
ZNF461,-1.02816730295017,1.19276968186014,-5.44561923091188,2.87549027087e-06,7.19392491324609e-05,4.51600062507673
TXN,1.44646843180654,4.57953798585469,5.44555121047415,2.87611928941779e-06,7.19392491324609e-05,4.51579088380945
TRIM65,-0.61843705514832,4.6018201421282,-5.44531575990864,2.87829767417481e-06,7.19392491324609e-05,4.51506487346636
NR2E1,2.03141020751115,-2.33282812550798,5.44525141574237,2.87889327086883e-06,7.19392491324609e-05,4.5148664692628
AL079338.1,-1.59984449893325,-1.48480546362997,-5.44509218839515,2.88036767341389e-06,7.19392491324609e-05,4.51437549545696
AGK,-0.839803253929307,4.28868505559924,-5.44429993679734,2.88771488594471e-06,7.20686307425532e-05,4.51193263079638
PISD,0.711740673668473,7.55298168630194,5.44407605083186,2.88979454482985e-06,7.20686307425532e-05,4.51124229805357
ITPRIP,0.814381074493576,7.11806723097365,5.44274111475374,2.90222562437369e-06,7.22894722332251e-05,4.50712620786496
AC011477.1,-0.740626508941198,1.82659331825921,-5.44264807883428,2.90309396598056e-06,7.22894722332251e-05,4.50683934887047
TRAP1,-0.758871599641547,4.34588937558628,-5.44243976412533,2.90503918820691e-06,7.22894722332251e-05,4.50619705117905
MIR3945HG,1.49669143012426,1.34678355794698,5.44217228071971,2.90753882341205e-06,7.22986686771074e-05,4.50537232255344
AC073172.1,2.39504716126279,1.1134273760292,5.44102875671891,2.91824921610185e-06,7.25118703462144e-05,4.50184656067118
ECE1,0.958197991673621,8.10566633181167,5.43952710876075,2.93237347651959e-06,7.28095249012641e-05,4.49721674650843
TIMP2,0.826889839271466,7.36068073763628,5.43869895076762,2.94019207111829e-06,7.29502918698077e-05,4.49466347028115
AC116021.1,1.2554792388064,-2.03538979382168,5.43834069408972,2.9435807757042e-06,7.29810216865974e-05,4.49355895080946
NUDT10,-1.15131902758868,-2.86098262647886,-5.43741455038806,2.95235906702226e-06,7.3145234637131e-05,4.49070365259113
ZBTB25,-1.15674389187582,4.21211704159786,-5.43605625479785,2.96528055922174e-06,7.33248005430738e-05,4.4865161342256
AAK1,-0.646447734346753,6.0019293871569,-5.43603214657326,2.96551040860926e-06,7.33248005430738e-05,4.486441811573
INAFM2,0.529995412800263,4.93505269922978,5.43597159686305,2.96608777165872e-06,7.33248005430738e-05,4.48625514453102
S100A6,1.42008408387628,9.29748422070749,5.43513255213082,2.97409988197016e-06,7.3449937819632e-05,4.48366850160308
FBXW8,-0.793481507895711,3.04390115780598,-5.43498848953732,2.97547771203801e-06,7.3449937819632e-05,4.48322438399708
SH3BGRL3,0.854207141609265,9.50077399519632,5.43333553355711,2.99133227176365e-06,7.3787645325728e-05,4.47812873366071
SERPINH1,-0.744350069352102,2.55412318841429,-5.43037638126924,3.01992556253323e-06,7.44127258223846e-05,4.46900686219105
CROT,-0.753788213203032,2.31168254294781,-5.43025980238661,3.02105757419262e-06,7.44127258223846e-05,4.46864750858326
CACNA1F,-0.822683855184346,0.518954486947817,-5.4292435608358,3.03094344101111e-06,7.46020901195062e-05,4.46551498960437
ALG9,-0.814165882380931,0.931094159040535,-5.42893632668916,3.03393850495408e-06,7.46216961848922e-05,4.46456796779546
LINC01588,-0.598734033318291,3.19184520971995,-5.42798122473368,3.04326810470596e-06,7.47969630774291e-05,4.46162399190877
AC079848.1,-1.17942329210543,-2.21764144059998,-5.42609739785936,3.06175338007747e-06,7.51812748942653e-05,4.45581752413786
OAZ1,1.09472926380241,10.0693753245081,5.42593678141659,3.06333460546723e-06,7.51812748942653e-05,4.45532247158101
LINC00926,-1.63847576967305,5.33987148941499,-5.42518115608679,3.07078443834522e-06,7.53096570854865e-05,4.45299350398544
IFITM9P,1.54233450365669,0.238295562080974,5.42473501128694,3.07519151055417e-06,7.53632853799491e-05,4.45161842691065
TOM1,1.12389035664084,6.96230410490297,5.42330422584978,3.08936746427935e-06,7.56309968539453e-05,4.44720864865905
FCN2,1.17992194729236,-0.64744097851227,5.4229640212147,3.09274770143308e-06,7.56309968539453e-05,4.44616013523499
SPEG,-1.11598694921627,2.11716414715624,-5.42295874264097,3.09280017775252e-06,7.56309968539453e-05,4.4461438666902
SHKBP1,1.29765822399953,8.94153591177719,5.42235471277712,3.09881092214856e-06,7.57234271559152e-05,4.444282261392
CNKSR2,-1.44881838652227,0.539046147546647,-5.42206324080042,3.10171553525832e-06,7.57398767609626e-05,4.44338396075287
RAB31,0.779596318129026,7.26128053137985,5.42183131708281,3.10402866504648e-06,7.5741869841127e-05,4.44266918871296
AC093642.1,-1.70818506502955,-0.322358269066208,-5.42146077206673,3.10772791840609e-06,7.57776587690657e-05,4.44152720351045
