,logFC,AveExpr,t,P.Value,adj.P.Val,B
FLVCR2,1.52198431084205,3.78275502673925,7.63476873636777,2.56725269072515e-09,1.13165832244926e-06,11.2569828874548
GPA33,-1.54746809364268,2.79255907012424,-7.62353496193967,2.65965684469137e-09,1.15735990541685e-06,11.2230934225102
AL035661.1,2.88144127807846,1.80146671571474,7.6106960322013,2.76938240798453e-09,1.18985288217482e-06,11.1843465294474
SIRPD,1.3777541006526,1.0661795793342,7.60110837716113,2.85429124919129e-09,1.21100441975063e-06,11.1554012889255
AC083862.2,1.45726166447499,1.85427012043695,7.59216750535098,2.93583797559317e-09,1.21616831202114e-06,11.1284006844119
JAML,1.0609432165361,10.2242565766236,7.59192049886141,2.93812390506551e-09,1.21616831202114e-06,11.127654638255
CA4,2.48900708403359,4.63405825994026,7.57868415271449,3.06328342157404e-09,1.25055163718772e-06,11.0876676552055
NR1D1,-1.11851340655657,2.52920104760045,-7.57542912534587,3.09487765964788e-09,1.25055163718772e-06,11.0778316478105
SMARCD3,2.00213038768954,5.99798941927487,7.56945338453576,3.15373826833384e-09,1.25934334475044e-06,11.0597715804094
MPP1,1.2290022832049,7.20343118748107,7.55813178463364,3.26837029145263e-09,1.28994214456378e-06,11.0255457599806
OSBPL10,-2.14572028161951,2.3869433515778,-7.55086152239806,3.34418951819763e-09,1.30469517961683e-06,11.0035609374598
VPS9D1,1.70400267814982,6.35600331668488,7.54396662337916,3.41773309179601e-09,1.31823518865614e-06,10.9827065691528
AC098935.1,-1.45548049968444,-0.160137073313302,-7.52458758298499,3.63329400846336e-09,1.37549326200294e-06,10.9240685939854
CD33,0.843591334651843,6.26236236519967,7.52104698156907,3.6741347997794e-09,1.37549326200294e-06,10.9133514791517
AC022239.1,-1.67237025925812,1.57296173998832,-7.51987476006138,3.68775814160238e-09,1.37549326200294e-06,10.9098030012466
CST7,1.87419671831468,8.3083898291197,7.51599841214922,3.73317222245031e-09,1.37729708233053e-06,10.8980678431131
KREMEN1,2.2858161658328,6.73566497828493,7.48828244457753,4.07474959786254e-09,1.4815193151162e-06,10.8141205905143
PPBP,1.96173660241388,5.85529948268638,7.48448080905354,4.12399869273288e-09,1.4815193151162e-06,10.8026005125442
SYNPO,-1.91427765832162,2.012139592634,-7.48275048643064,4.14661289658945e-09,1.4815193151162e-06,10.7973566847382
AC116353.6,1.62531548354404,2.49344400404077,7.47726925445175,4.21907797153159e-09,1.49088969304606e-06,10.7807437301939
APMAP,1.23871483460369,8.07345529006296,7.47416457493257,4.26068882875104e-09,1.49088969304606e-06,10.7713326005824
HAUS4,1.20002061102333,4.6211395248104,7.44954218623991,4.60569509424025e-09,1.54179614904054e-06,10.696664361743
SALL2,-1.4797138134233,1.07902450080799,-7.4471586912101,4.64055310060968e-09,1.54179614904054e-06,10.6894334161552
AMIGO1,-1.55161650129735,3.68994202336237,-7.44621484789465,4.65442998680771e-09,1.54179614904054e-06,10.6865698829736
C2orf92,-0.961199019454479,1.25033260279124,-7.44586003896645,4.65965739083757e-09,1.54179614904054e-06,10.6854934047951
FCGBP,-2.0521043566304,3.33009279083207,-7.44476011866365,4.67590018058955e-09,1.54179614904054e-06,10.6821562120752
PITPNM2-AS1,-1.42445606841272,-2.93343797413979,-7.44456978093251,4.67871673299084e-09,1.54179614904054e-06,10.6815787103679
AC005840.2,1.25316689354203,0.794157475651783,7.41859340038684,5.079606665255e-09,1.62696260736512e-06,10.6027335820482
ZNF251,-0.810463255628088,2.58000982232225,-7.41568413055857,5.12660960429028e-09,1.62696260736512e-06,10.5938994367688
CARNS1,-1.27626313283003,2.9305262783649,-7.41464988720681,5.14342456145313e-09,1.62696260736512e-06,10.5907587234155
LTBR,1.15696725265182,6.9992435665298,7.4135452824813,5.16144488199654e-09,1.62696260736512e-06,10.587404237114
ZNF607,-1.19114476191647,1.31634775271166,-7.41260528620751,5.17682993328127e-09,1.62696260736512e-06,10.5845495519639
EDNRB,2.11254682474555,-1.99484027870941,7.40352576331442,5.3278368032129e-09,1.65905905297846e-06,10.5569718238471
GBP2,1.44413072002212,9.32547219139493,7.39690307353071,5.44077672978604e-09,1.67882585238544e-06,10.5368517817462
STAB1,1.20600115263645,7.2537637941504,7.39135329979701,5.53727655887855e-09,1.68029992087184e-06,10.5199883402711
TTC24,-2.09676890207801,1.47572402024172,-7.38817105400341,5.59338610548518e-09,1.68029992087184e-06,10.5103176082676
MRNIP,-0.786697260756274,4.44150603989153,-7.38813252049065,5.594069031245e-09,1.68029992087184e-06,10.5102005008593
IFNGR2,0.969451780909151,7.80462707366718,7.38336093804778,5.67928827981833e-09,1.69093335783854e-06,10.4956981557179
METTL9,0.963033596046525,6.86441209586541,7.37103918723217,5.90545487047192e-09,1.74169278894376e-06,10.4582392897221
AL445524.1,1.69737361179649,2.25508348746035,7.36854125336935,5.95240008006235e-09,1.74169278894376e-06,10.4506438128615
QPCT,1.26029525943521,6.78988886841135,7.36170913422462,6.08273085650598e-09,1.74837695907679e-06,10.4298666057646
VNN2,1.23268006972666,9.37294800807516,7.36155721514968,6.08566135490416e-09,1.74837695907679e-06,10.4294045577553
PDCD1LG2,2.27145567079,1.69170162130101,7.35927914707248,6.12977603353184e-09,1.74837695907679e-06,10.4224757828898
RNF175,1.44348325621132,3.49995464684256,7.35584778944469,6.19683329756092e-09,1.75277429821511e-06,10.4120384187343
S100A9,2.40612784179482,12.3276956572388,7.33690540041087,6.58054784309659e-09,1.84592524702797e-06,10.3544020635681
ATF7IP2,-1.09473483619669,3.26688096363875,-7.32854769078613,6.75737957334169e-09,1.87999161867511e-06,10.3289621819815
TCTN2,-1.19763016932601,0.826744030648319,-7.32168191677153,6.9062229235737e-09,1.90578063798324e-06,10.3080591495943
BMX,2.27991164759604,2.78106057799988,7.31561040272098,7.04059839558196e-09,1.9271934737326e-06,10.289570949455
FBLN2,-2.7767645189365,0.733403108898285,-7.31135124157769,7.13643228245418e-09,1.93779827624848e-06,10.2765996451976
